City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Desc
217,Lakes Entrance,AU,-37.8811,147.981,67.57,97,100,7.85,overcast clouds
218,Yurty,RU,56.0498,97.6348,-12.44,100,85,2.44,overcast clouds
219,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,76,19,12.66,few clouds
220,Grindavik,IS,63.8424,-22.4338,36.07,80,75,14.97,broken clouds
221,Severo-Kurilsk,RU,50.6789,156.125,23.43,75,86,19.39,overcast clouds
222,Leningradskiy,RU,69.3833,178.4167,-6.07,85,54,3.29,broken clouds
223,Hokitika,NZ,-42.7167,170.9667,58.57,74,100,2.42,overcast clouds
224,Kedrovyy,RU,56.1667,91.8167,-12.14,99,41,4.0,scattered clouds
225,Bambous Virieux,MU,-20.3428,57.7575,80.85,83,40,8.05,scattered clouds
226,Stromness,GB,58.965,-3.296,41.25,70,16,37.94,few clouds
227,Vila,PT,42.0304,-8.1588,44.92,56,5,4.65,clear sky
228,Arrecife,ES,28.963,-13.5477,66.18,59,0,13.8,haze
229,Kolokani,ML,13.5728,-8.0339,82.35,13,3,9.57,clear sky
230,Pisco,PE,-13.7,-76.2167,75.25,64,0,11.5,clear sky
231,Fare,PF,-16.7,-151.0167,80.47,74,12,12.95,few clouds
232,Necochea,AR,-38.5473,-58.7368,88.03,37,0,13.22,clear sky
233,Kaitangata,NZ,-46.2817,169.8464,54.86,95,100,4.54,light rain
234,Belaya Gora,RU,68.5333,146.4167,-11.69,99,100,1.48,overcast clouds
235,Amsterdam,NL,52.374,4.8897,49.91,72,0,5.99,clear sky
236,Chancay,PE,-11.5714,-77.2672,75.07,73,29,10.6,scattered clouds
237,Skibbereen,IE,51.55,-9.2667,46.2,82,29,6.2,scattered clouds
238,Saskylakh,RU,71.9167,114.0833,-21.53,98,100,3.49,overcast clouds
239,Santa Maria,BR,-29.6842,-53.8069,79.9,44,40,18.41,scattered clouds
240,Punakha,BT,27.5837,89.8598,43.16,76,63,1.95,broken clouds
241,Cabral,DO,18.25,-71.2167,85.86,66,40,13.8,scattered clouds
242,Ostrovnoy,RU,68.0531,39.5131,12.76,90,100,14.14,overcast clouds
243,Potosi,BO,-19.5836,-65.7531,52.11,67,100,6.67,overcast clouds
244,Kamenka,RU,51.3223,42.7678,31.75,98,100,7.9,overcast clouds
245,Arbroath,GB,56.5632,-2.5874,43.81,63,7,19.8,clear sky
246,Faya,SA,18.3851,42.4509,54.12,68,0,5.14,clear sky
247,Ritchie,ZA,-29.038,24.6028,76.21,30,11,10.29,few clouds
248,Butaritari,KI,3.0707,172.7902,81.75,77,12,19.33,light rain
249,Howard Springs,AU,-12.497,131.047,76.91,99,100,15.88,light rain
250,Iquitos,PE,-3.7481,-73.2472,91.44,49,20,8.05,few clouds
251,Benjamin Constant,BR,-4.3831,-70.0311,89.73,58,40,4.61,scattered clouds
252,Magaria,NE,12.9983,8.9099,68.22,12,3,11.12,clear sky
253,Cabinda,AO,-5.55,12.2,82.54,83,75,6.91,broken clouds
254,Sayaxche,GT,16.5167,-90.1667,67.05,91,100,4.65,overcast clouds
255,North Bend,US,43.4065,-124.2243,52.07,71,0,3.44,clear sky
256,Richards Bay,ZA,-28.783,32.0377,72.01,84,67,4.68,broken clouds
257,Margate,GB,51.3813,1.3862,51.96,67,59,13.0,broken clouds
258,Gornopravdinsk,RU,60.05,69.9,4.39,97,100,3.78,overcast clouds
259,Hambantota,LK,6.1241,81.1185,77.34,100,40,2.3,scattered clouds
260,Adrar,MR,20.5022,-10.0711,81.21,11,100,8.99,overcast clouds
261,Haradok,BY,55.4624,29.9816,20.82,92,100,11.72,light snow
262,Andenes,NO,69.3143,16.1194,26.58,63,100,18.41,overcast clouds
263,Kavieng,PG,-2.5744,150.7967,81.16,78,100,8.46,moderate rain
264,Fez,MA,34.0372,-4.9998,60.91,50,0,4.61,clear sky
265,Todos Santos,MX,23.45,-110.2167,82.11,72,1,6.06,clear sky
266,Araquari,BR,-26.3703,-48.7211,73.35,88,100,3.44,mist
