City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,Jackson,42.4165,-122.8345,60.67,27,0,0.0,US,2022-01-28 00:36:30
157,Truckee,39.328,-120.1833,44.31,32,0,3.44,US,2022-01-28 00:34:59
158,Esperance,-33.8667,121.9,69.64,60,18,10.42,AU,2022-01-28 00:36:34
159,Lezajsk,50.2626,22.4193,35.92,93,100,8.99,PL,2022-01-28 00:39:00
160,Korla,41.7597,86.1469,20.52,64,0,3.44,CN,2022-01-28 00:39:00
161,Vilyuysk,63.7553,121.6247,-20.29,98,17,3.74,RU,2022-01-28 00:39:00
162,Haines Junction,60.7522,-137.5108,22.95,80,100,1.14,CA,2022-01-28 00:34:05
163,Amboasary,-25.0333,46.3833,73.24,89,3,4.99,MG,2022-01-28 00:39:01
164,Barrow,71.2906,-156.7887,-16.58,76,0,8.05,US,2022-01-28 00:35:57
165,Jizan,17.3333,42.6667,76.14,75,17,6.55,SA,2022-01-28 00:39:01
166,Peleduy,59.6289,112.7406,-19.79,100,93,2.62,RU,2022-01-28 00:39:02
167,Arraial Do Cabo,-22.9661,-42.0278,82.26,65,0,19.57,BR,2022-01-28 00:35:13
168,Chuy,-33.6971,-53.4616,66.36,67,93,7.27,UY,2022-01-28 00:31:32
169,Cabo San Lucas,22.8909,-109.9124,73.71,49,20,8.05,MX,2022-01-28 00:35:55
170,Norman Wells,65.282,-126.8329,-0.36,78,100,3.44,CA,2022-01-28 00:35:43
171,Beloha,-25.1667,45.05,68.61,80,0,10.69,MG,2022-01-28 00:39:02
172,Porto,41.1496,-8.611,51.31,48,0,5.99,PT,2022-01-28 00:37:35
173,Bonavista,48.6499,-53.1147,19.11,65,89,13.51,CA,2022-01-28 00:39:03
174,Demba,-5.51,22.2667,68.13,90,98,1.12,CD,2022-01-28 00:39:03
175,Sabratah,32.7933,12.4885,49.35,60,0,6.31,LY,2022-01-28 00:39:03
176,Erenhot,43.6475,111.9767,2.21,84,7,3.96,CN,2022-01-28 00:34:12
177,Husavik,66.0449,-17.3389,33.71,80,100,14.23,IS,2022-01-28 00:39:04
178,Santa Luzia,-19.7697,-43.8514,79.14,61,40,4.61,BR,2022-01-28 00:39:04
179,College,64.8569,-147.8028,-7.42,74,100,3.44,US,2022-01-28 00:35:46
180,Pereira Barreto,-20.6383,-51.1092,79.02,66,100,4.38,BR,2022-01-28 00:38:57
181,Aktash,50.3,87.7333,-24.11,91,57,4.0,RU,2022-01-28 00:39:04
182,Salto De Agua,17.6167,-92.3667,79.56,97,5,3.11,MX,2022-01-28 00:39:08
183,Mahebourg,-20.4081,57.7,73.69,83,40,5.75,MU,2022-01-28 00:36:48
184,Saravan,39.7196,45.6483,20.05,95,100,3.2,AM,2022-01-28 00:39:08
185,Latung,5.5,120.8833,83.28,75,100,9.08,PH,2022-01-28 00:39:08
186,Bonthe,7.5264,-12.505,78.33,82,86,4.56,SL,2022-01-28 00:39:09
187,Tambacounda,13.7539,-13.7586,80.65,21,0,8.05,SN,2022-01-28 00:39:09
188,Ilulissat,69.2167,-51.1,6.82,72,20,10.36,GL,2022-01-28 00:37:29
189,Bowen,-20.0167,148.2333,82.62,75,100,17.4,AU,2022-01-28 00:39:09
190,Nikolskoye,59.7035,30.7861,27.39,96,100,8.46,RU,2022-01-28 00:32:13
191,Tandur,17.2333,77.5833,58.89,46,5,7.2,IN,2022-01-28 00:39:10
192,Harper,4.375,-7.7169,78.85,80,98,5.48,LR,2022-01-28 00:37:17
193,Salalah,17.0151,54.0924,71.69,68,20,2.3,OM,2022-01-28 00:33:41
194,Valle De Juarez,19.9333,-102.9333,59.59,50,55,4.61,MX,2022-01-28 00:39:10
195,Udachnyy,66.4167,112.4,-20.38,98,32,4.41,RU,2022-01-28 00:39:11
196,Angoche,-16.2325,39.9086,72.86,93,12,5.28,MZ,2022-01-28 00:35:15
197,Qax,41.4225,46.9242,34.79,86,100,1.95,AZ,2022-01-28 00:39:11
198,Karlshamn,56.1706,14.8619,41.11,76,100,18.32,SE,2022-01-28 00:39:12
199,Jeremie,18.65,-74.1167,76.71,79,24,4.27,HT,2022-01-28 00:39:12
200,Birigui,-21.2886,-50.34,80.4,60,100,3.87,BR,2022-01-28 00:39:12
201,Praia,14.9215,-23.5087,70.34,68,75,20.71,CV,2022-01-28 00:38:43
202,Benito Juarez,19.385,-99.165,71.42,37,20,1.01,MX,2022-01-28 00:39:10
203,Ilfracombe,51.2093,-4.1134,42.98,82,32,1.23,GB,2022-01-28 00:39:13
204,Moanda,-1.5575,13.2178,72.39,82,100,1.74,GA,2022-01-28 00:39:13
205,Belaya Gora,68.5333,146.4167,-40.77,100,53,3.13,RU,2022-01-28 00:39:13
206,Carnarvon,-24.8667,113.6333,78.87,73,40,4.61,AU,2022-01-28 00:37:07
207,Cockburn Town,21.4612,-71.1419,78.31,72,0,10.69,TC,2022-01-28 00:34:46
208,Mezen,65.8522,44.24,10.2,95,100,7.09,RU,2022-01-28 00:39:14
209,Bata,1.8639,9.7658,77.85,85,97,4.21,GQ,2022-01-28 00:39:14
210,Atambua,-9.1061,124.8925,79.74,75,73,3.65,ID,2022-01-28 00:39:15
211,Kruisfontein,-34.0033,24.7314,64.89,90,0,7.56,ZA,2022-01-28 00:36:49
212,Jalu,29.0331,21.5482,49.95,73,98,6.4,LY,2022-01-28 00:32:10
213,Goryachiy Klyuch,44.6308,39.13,26.44,97,100,2.33,RU,2022-01-28 00:39:15
214,Smirnykh,49.75,142.8333,4.17,77,100,3.15,RU,2022-01-28 00:39:16
215,Gonbad-E Qabus,37.25,55.1672,49.15,88,100,7.29,IR,2022-01-28 00:39:16
216,San Patricio,28.017,-97.5169,62.69,74,100,8.95,US,2022-01-28 00:36:13
217,Saveh,35.0213,50.3566,34.41,60,0,9.57,IR,2022-01-28 00:39:17
218,Matara,5.9485,80.5353,71.71,85,14,6.42,LK,2022-01-28 00:39:17
219,Vrangel,42.7297,133.0839,17.65,58,0,11.45,RU,2022-01-28 00:39:17
220,Palauig,15.435,119.9045,83.71,65,93,1.61,PH,2022-01-28 00:39:18
221,Umm Kaddadah,13.6017,26.6876,52.32,19,11,17.09,SD,2022-01-28 00:36:02
222,Coihaique,-45.5752,-72.0662,79.41,29,0,4.61,CL,2022-01-28 00:36:52
223,Upernavik,72.7868,-56.1549,1.89,92,100,21.81,GL,2022-01-28 00:31:50
224,Geraldton,-28.7667,114.6,84.61,37,0,13.8,AU,2022-01-28 00:31:37
225,Ramshir,30.8946,49.4092,49.75,50,3,9.42,IR,2022-01-28 00:39:18
226,Christchurch,-43.5333,172.6333,66.47,57,20,3.0,NZ,2022-01-28 00:37:06
227,Richards Bay,-28.783,32.0377,76.53,83,8,15.95,ZA,2022-01-28 00:37:13
228,Lorengau,-2.0226,147.2712,85.1,69,100,7.23,PG,2022-01-28 00:36:15
229,Seoul,37.5683,126.9778,26.2,56,0,6.91,KR,2022-01-28 00:37:49
230,Tuatapere,-46.1333,167.6833,66.81,40,100,5.95,NZ,2022-01-28 00:34:11
231,Srikakulam,18.3,83.9,63.66,76,7,7.76,IN,2022-01-28 00:39:22
232,Ngunguru,-35.6167,174.5,73.17,61,47,16.84,NZ,2022-01-28 00:39:22
233,Atchison,39.563,-95.1216,37.65,63,100,6.2,US,2022-01-28 00:39:23
234,Vestmannaeyjar,63.4427,-20.2734,43.02,87,100,26.04,IS,2022-01-28 00:30:39
235,Westport,41.1415,-73.3579,32.76,73,75,13.0,US,2022-01-28 00:34:28
236,Ayr,55.4627,-4.6339,46.38,81,100,8.05,GB,2022-01-28 00:39:23
237,Mount Isa,-20.7333,139.5,82.17,69,75,10.36,AU,2022-01-28 00:37:26
238,Merauke,-8.4667,140.3333,85.05,68,100,7.34,ID,2022-01-28 00:34:59
239,Cutro,39.0353,16.9819,49.26,71,24,3.24,IT,2022-01-28 00:39:24
240,Asau,46.4333,26.4,34.72,89,91,7.94,RO,2022-01-28 00:30:43
